,skin_temperature_median,soil_temperature_level_1_median,temperature_2m_median,total_evaporation_sum_median,total_precipitation_sum_median,volumetric_soil_water_layer_1_median,Latitude,Longitude,Sample Date
0,307.9198840459188,307.8334706624349,300.1986099878947,-8.535338565707207e-05,1.2934207518355834e-06,0.0087989171346028,-28.760833,17.730278,2011-01-02
1,293.6651086807251,294.39384746551514,292.44444338480633,-0.0041025858372449,0.0078298360108792,0.4589293797810873,-26.861111,28.884722,2011-01-03
2,293.9729309082031,294.72552490234375,292.82803312937415,-0.0040103690698742,0.0069638252257764,0.3934981028238932,-26.45,28.085833,2011-01-03
3,294.2801596323649,295.1667292912801,293.5092535018921,-0.0038953814655542,0.0072275429963042,0.4090181986490885,-27.671111,27.236944,2011-01-03
4,294.41470527648926,295.3040854136149,293.8909632364909,-0.0039094616658985,0.0049801498650481,0.4378150304158529,-27.356667,27.286389,2011-01-03
5,295.0895878473917,295.92047119140625,294.2975835800171,-0.0037036067806184,0.0047414473737319,0.3257354100545247,-27.01011111,26.69808333,2011-01-04
6,298.10443592071533,298.9894040425619,296.73584334055585,-0.0039521506987512,0.0038611695169379,0.3118791580200195,-25.127778,27.628889,2011-01-04
7,297.80797513326013,298.82857735951745,296.5133498509725,-0.0038727251812815,0.0044876590370108,0.335852305094401,-25.20639,27.558,2011-01-04
8,298.85935942331946,299.7617019017537,297.182401339213,-0.0036022718995809,0.0049552261829326,0.4540974299112955,-24.69514,27.40906,2011-01-04
9,295.0895878473917,295.92047119140625,294.2975835800171,-0.0037036067806184,0.0047414473737319,0.3257354100545247,-26.98472222,26.63227778,2011-01-04
10,295.05110359191895,295.5275592803955,293.97450669606525,-0.0037332330830395,0.00704385489224,0.3469403584798177,-28.141944,26.417778,2011-01-04
11,295.16077582041424,296.06911214192706,294.31070391337073,-0.0036258958280086,0.0066785901784758,0.3308315277099609,-27.398611,26.614722,2011-01-04
12,295.876202583313,297.1727412541708,293.19637393951416,-0.0023305523209273,0.0009846575106280395,0.2364263534545898,-33.501667,21.624167,2011-01-04
13,306.45424588521325,306.52654933929443,297.8225402832031,-0.00043324148282408714,4.9842894014773265e-05,0.0433998107910156,-32.502778,19.535833,2011-01-04
14,297.21568266550696,297.9911130269369,295.7818581263224,-0.003579338081181,0.0026397530787676,0.2829720179239908,-25.45963889,28.26430556,2011-01-04
15,295.72554206848145,296.5503155390421,294.4434111913045,-0.0036481786519289,0.0051992177963118,0.3423420588175455,-27.495556,26.074722,2011-01-04
16,294.5163777669271,295.34151204427087,294.0766261418661,-0.0042210747487843,0.0049616411328283,0.3589518864949544,-26.648056,27.089444,2011-01-05
17,294.34449672698975,295.25382455190027,293.67466417948407,-0.004205101635307,0.0052616700529704,0.4483776092529297,-26.970278,27.211111,2011-01-05
18,295.21211528778076,296.06996663411456,294.3282413482666,-0.0036208843812346,0.0063627458656867,0.3297443389892578,-27.38972222,26.46388889,2011-01-05
19,295.14735317230225,296.1252031326294,294.2167008717855,-0.0040817679837346,0.0056365936994016,0.3571815490722656,-27.044444,27.005,2011-01-05
20,293.1928434371948,293.75774478912354,291.7321993509928,-0.0037734061479568,0.0072747267330726,0.3596359888712565,-30.830556,26.921389,2011-01-06
21,293.27465534210205,294.2175073623657,291.8483727773031,-0.0041419472545385,0.0055498912929952,0.4605331420898437,-27.00222,28.76528,2011-01-06
22,293.15059121449787,294.0783472061157,291.9604740142822,-0.004151324275881,0.005568100511974,0.4617427190144857,-27.02314,28.59389,2011-01-06
23,293.5743131637573,294.0194969177246,291.9846407572428,-0.0038951374590396,0.0081130363353736,0.3482240041097005,-30.679722,26.7125,2011-01-06
24,292.3747329711914,292.8470239639282,291.2169977823893,-0.0037832865491509,0.0085860326885267,0.3948354721069336,-30.160091,27.40124,2011-01-06
25,303.4411427179972,303.5496260325114,299.72557385762536,-0.0017183567397296,2.4412625894143503e-06,0.1442874272664388,-32.595833,19.009444,2011-01-06
26,292.9019819895426,293.74514611562097,291.8509639104208,-0.0038208016194403,0.0050095712540496,0.3715699513753255,-25.99136,27.84208,2011-01-10
27,293.87346967061364,294.7790107727051,292.7667226791382,-0.0039565521292388,0.0030971705913511,0.3802566528320312,-26.73806,27.59194,2011-01-10
28,292.8532873789469,293.8745365142822,291.9332672754923,-0.0039990842342376,0.0042366509193065,0.3833077748616537,-26.45,28.085833,2011-01-10
29,292.9987436930339,293.692928314209,291.88121604919434,-0.0038899090141057,0.0013463188058544,0.352421760559082,-30.86013889,29.07125,2011-01-10
30,294.6453231175741,295.26180998484296,293.5569909413656,-0.0042683025822043,0.0015058766063873,0.4339008331298828,-27.356667,27.286389,2011-01-10
31,295.14656861623126,295.91200097401935,293.98654778798425,-0.0042269071564078,0.0018954366435757,0.2959823608398437,-27.01011111,26.69808333,2011-01-11
32,294.54965559641516,295.4970989227295,293.5970490773519,-0.0038566645234823,0.0029443448193635,0.3374770482381185,-25.73411,27.21422,2011-01-11
