,cec_mean,cec_median,clay_mean,clay_median,pH_mean,pH_median,phosphorous_mean,phosphorous_median,Latitude,Longitude,Sample Date
0,24.201975527052927,24.0,21.148754238537524,21.0,75.28571428571429,75.0,22.926433731387295,23.0,-28.760833,17.730278,02-01-2011
1,27.25627596171212,27.0,29.20417193426043,29.0,65.13364637890554,65.0,21.057341520679067,21.0,-26.861111,28.884722,03-01-2011
2,23.43080702392867,23.0,28.69001910654171,28.0,64.27813665726504,64.0,20.680647802747707,21.0,-26.45,28.085833,03-01-2011
3,22.639576286273808,23.0,25.220847427452377,26.0,65.57210254584297,65.0,22.00756631653907,22.0,-27.671111,27.236944,03-01-2011
4,25.09624854508014,25.0,27.768108156504617,28.0,63.99337451875728,64.0,20.0453934998657,20.0,-27.356667,27.286389,03-01-2011
5,25.033684589750525,25.0,28.137530397189945,28.0,61.8504908583266,62.0,21.04458254525804,21.0,-27.01011111,26.69808333,04-01-2011
6,22.92068516105008,23.0,26.35822007075033,26.0,66.09690932787191,66.0,22.892757400856443,23.0,-25.127778,27.628889,04-01-2011
7,23.071528100325132,23.0,27.16915931258709,27.0,64.89224338132837,65.0,21.47097073850441,22.0,-25.20639,27.558,04-01-2011
8,23.85241754122939,24.0,26.910888305847077,27.0,64.64861319340328,65.0,22.532327586206897,23.0,-24.69514,27.40906,04-01-2011
9,25.32486028483865,25.0,25.549215792320176,26.0,64.69920677843879,64.0,18.940778799351,19.0,-26.98472222,26.63227778,04-01-2011
10,26.069851642529137,26.0,28.23869657364888,28.0,66.72121158601199,67.0,20.28249735075945,20.0,-28.141944,26.417778,04-01-2011
11,23.278414175765167,23.0,25.17173796312869,25.0,66.44719885448363,66.0,20.017272239126545,20.0,-27.398611,26.614722,04-01-2011
12,24.11963383838383,24.0,25.706912878787872,26.0,68.02130681818178,68.0,23.028566919191913,23.0,-33.501667,21.624167,04-01-2011
13,17.90192913068045,18.0,18.874001130034713,19.0,73.317378319477,73.0,21.384050367261285,21.0,-32.502778,19.535833,04-01-2011
14,22.528747338209428,23.0,23.579946301268397,24.0,63.20044440329599,63.0,18.690861957226183,19.0,-25.45963889,28.26430556,04-01-2011
15,24.035723854603912,24.0,22.1223542020184,22.0,70.73448245065644,71.0,19.891131553094585,20.0,-27.495556,26.074722,04-01-2011
16,23.00471313332729,23.0,27.458714764796515,28.0,62.61044140306354,63.0,19.285597752197948,19.0,-26.648056,27.089444,05-01-2011
17,22.073489010989007,22.0,23.912087912087912,24.0,61.32545133437989,61.0,22.28326138147567,22.0,-26.970278,27.211111,05-01-2011
18,24.52343889783503,24.0,24.19565217391304,24.0,65.26086956521739,65.0,19.387994274467715,19.0,-27.38972222,26.46388889,05-01-2011
19,24.473262513503784,24.0,25.068959308606413,25.0,62.99963989917176,63.0,19.03348937702557,19.0,-27.044444,27.005,05-01-2011
20,24.837826523777633,25.0,27.33631949095781,27.0,70.5089584728734,71.0,24.374916275954455,24.0,-30.830556,26.921389,06-01-2011
21,25.610595549148577,26.0,28.76484367961078,29.0,65.6648346697901,66.0,18.202270474817553,18.0,-27.00222,28.76528,06-01-2011
22,24.607763667477244,25.0,26.46365847068359,26.0,62.46347833918758,62.0,19.744033144195253,20.0,-27.02314,28.59389,06-01-2011
23,25.581528127623844,26.0,28.43937867338371,28.0,69.15163727959698,70.0,22.55793450881611,22.0,-30.679722,26.7125,06-01-2011
24,24.020550271739125,24.0,24.809273097826093,25.0,65.0726902173913,65.0,21.63255774456521,22.0,-30.160091,27.40124,06-01-2011
25,18.299871092491127,18.0,24.93804382855301,25.0,65.31413148565903,65.0,23.7737673219465,24.0,-32.595833,19.009444,06-01-2011
26,20.134971575279664,20.0,22.9994498441225,23.0,61.2367504126169,61.0,19.23381624793692,19.0,-25.99136,27.84208,10-01-2011
27,21.00806232448591,21.0,25.13796539541625,25.0,62.564000362351656,63.0,22.17809584201467,22.0,-26.73806,27.59194,10-01-2011
28,23.43080702392867,23.0,28.69001910654171,28.0,64.27813665726504,64.0,20.680647802747707,21.0,-26.45,28.085833,10-01-2011
29,24.31453906642127,24.0,27.133762757236067,27.0,66.31964196084989,67.0,27.093776141877193,27.0,-30.86013889,29.07125,10-01-2011
30,25.09624854508014,25.0,27.768108156504617,28.0,63.99337451875728,64.0,20.0453934998657,20.0,-27.356667,27.286389,10-01-2011
31,25.033684589750525,25.0,28.137530397189945,28.0,61.8504908583266,62.0,21.04458254525804,21.0,-27.01011111,26.69808333,11-01-2011
32,21.69340578375392,21.0,24.04015472462701,24.0,61.58215140909928,61.0,23.088782464542273,23.0,-25.73411,27.21422,11-01-2011
33,25.32486028483865,25.0,25.549215792320176,26.0,64.69920677843879,64.0,18.940778799351,19.0,-26.98472222,26.63227778,11-01-2011
34,23.278414175765167,23.0,25.17173796312869,25.0,66.44719885448363,66.0,20.017272239126545,20.0,-27.398611,26.614722,11-01-2011
35,22.639576286273808,23.0,25.220847427452377,26.0,65.57210254584297,65.0,22.00756631653907,22.0,-27.671111,27.236944,11-01-2011
36,25.77491989261279,26.0,25.44401143154066,25.0,71.48324240062354,72.0,20.422967004416726,20.0,-29.160278,26.573333,11-01-2011
37,24.78533219629429,25.0,25.95387239320877,26.0,65.43677804480969,65.0,26.27366462516474,26.0,-34.250556,20.9925,11-01-2011
38,22.528747338209428,23.0,23.579946301268397,24.0,63.20044440329599,63.0,18.690861957226183,19.0,-25.45963889,28.26430556,11-01-2011
39,22.587780640412227,23.0,26.167556128082456,26.0,63.34440559440559,63.0,21.98849834376151,22.0,-25.81048333,27.90955222,12-01-2011
40,22.64235737351991,23.0,25.22093649085037,25.0,61.60468245425188,62.0,20.898008611410123,21.0,-27.273889,28.49,12-01-2011
41,24.812377034519756,25.0,27.148631729565363,27.0,63.22831336075835,63.0,20.20613485959577,20.0,-27.4275,28.525833,12-01-2011
42,23.274799860772713,23.0,26.11599373477202,26.0,63.03576400974591,63.0,20.58231813435433,21.0,-28.883333,27.89,12-01-2011
43,25.610595549148577,26.0,28.76484367961078,29.0,65.6648346697901,66.0,18.202270474817553,18.0,-27.00222,28.76528,13-01-2011
44,24.607763667477244,25.0,26.46365847068359,26.0,62.46347833918758,62.0,19.744033144195253,20.0,-27.02314,28.59389,13-01-2011
45,27.026776692489054,27.0,26.431963624115852,26.0,75.08512967329064,76.0,23.129673290670247,23.0,-30.534167,24.961944,13-01-2011
46,22.38559396385331,23.0,22.98376908229514,23.0,67.40393051412529,67.0,21.262063519915777,21.0,-28.460833,21.248889,13-01-2011
47,27.066020749378374,27.0,28.959358655577468,29.0,72.90559890251222,73.0,20.72768584412244,21.0,-29.658056,25.973333,14-01-2011
48,24.201975527052927,24.0,21.148754238537524,21.0,75.28571428571429,75.0,22.926433731387295,23.0,-28.760833,17.730278,16-01-2011
