,Land Surface Temperature,Latitude,Longitude,Sample Date
0,15845.0,-28.760833,17.730278,2011-01-02
1,15190.0,-26.861111,28.884722,2011-01-03
2,14879.0,-26.45,28.085833,2011-01-03
3,15228.5,-27.671111,27.236944,2011-01-03
4,15130.0,-27.356667,27.286389,2011-01-03
5,15101.5,-27.01011111,26.69808333,2011-01-04
6,15036.5,-25.127778,27.628889,2011-01-04
7,14998.0,-25.20639,27.558,2011-01-04
8,15137.5,-24.69514,27.40906,2011-01-04
9,15182.0,-26.98472222,26.63227778,2011-01-04
10,15162.5,-28.141944,26.417778,2011-01-04
11,15206.5,-27.398611,26.614722,2011-01-04
12,15483.5,-33.501667,21.624167,2011-01-04
13,15727.0,-32.502778,19.535833,2011-01-04
14,15168.0,-25.45963889,28.26430556,2011-01-04
15,15231.5,-27.495556,26.074722,2011-01-04
16,15060.0,-26.648056,27.089444,2011-01-05
17,15023.0,-26.970278,27.211111,2011-01-05
18,15157.5,-27.38972222,26.46388889,2011-01-05
19,15106.0,-27.044444,27.005,2011-01-05
20,15192.5,-30.830556,26.921389,2011-01-06
21,14947.0,-27.00222,28.76528,2011-01-06
22,15104.0,-27.02314,28.59389,2011-01-06
23,15146.5,-30.679722,26.7125,2011-01-06
24,15172.0,-30.160091,27.40124,2011-01-06
25,15741.5,-32.595833,19.009444,2011-01-06
26,15005.0,-25.99136,27.84208,2011-01-10
27,15017.0,-26.73806,27.59194,2011-01-10
28,14942.5,-26.45,28.085833,2011-01-10
29,15283.5,-30.86013889,29.07125,2011-01-10
30,15169.0,-27.356667,27.286389,2011-01-10
31,15084.0,-27.01011111,26.69808333,2011-01-11
32,14933.0,-25.73411,27.21422,2011-01-11
33,15192.0,-26.98472222,26.63227778,2011-01-11
34,15189.0,-27.398611,26.614722,2011-01-11
35,15146.5,-27.671111,27.236944,2011-01-11
36,15073.0,-29.160278,26.573333,2011-01-11
37,15452.0,-34.250556,20.9925,2011-01-11
38,15162.5,-25.45963889,28.26430556,2011-01-11
39,15065.0,-25.81048333,27.90955222,2011-01-12
40,15043.0,-27.273889,28.49,2011-01-12
41,14998.5,-27.4275,28.525833,2011-01-12
42,15088.0,-28.883333,27.89,2011-01-12
43,14947.0,-27.00222,28.76528,2011-01-13
44,15104.0,-27.02314,28.59389,2011-01-13
45,15303.5,-30.534167,24.961944,2011-01-13
46,15519.0,-28.460833,21.248889,2011-01-13
47,15222.0,-29.658056,25.973333,2011-01-14
48,15759.0,-28.760833,17.730278,2011-01-16
49,14926.0,-25.513889,31.224444,2011-01-17
50,15040.0,-26.861111,28.884722,2011-01-17
51,15139.0,-31.554722,29.245556,2011-01-17
52,15222.0,-28.058889,30.373611,2011-01-17
53,15018.0,-25.127778,27.628889,2011-01-18
54,14989.5,-25.20639,27.558,2011-01-18
55,15179.0,-24.69514,27.40906,2011-01-18
56,15258.5,-25.681111,31.783333,2011-01-18
57,15060.0,-27.802778,28.768333,2011-01-18
58,15224.0,-27.398611,26.614722,2011-01-18
59,15248.0,-31.104278,29.399722,2011-01-18
60,15067.0,-31.396,29.2651,2011-01-18
61,15303.0,-33.38056,19.30167,2011-01-18
62,15432.0,-33.31388889,19.07472222,2011-01-18
63,15212.0,-27.495556,26.074722,2011-01-18
64,15127.0,-24.39619444,27.08983333,2011-01-19
65,15085.0,-26.970278,27.211111,2011-01-19
66,15036.0,-26.880278,26.965,2011-01-19
67,15062.0,-27.273889,28.49,2011-01-19
68,15024.0,-27.3,28.586944,2011-01-19
69,15112.0,-27.044444,27.005,2011-01-19
70,15253.0,-30.568333,29.422778,2011-01-19
71,15108.0,-30.570833,29.150556,2011-01-19
72,15170.0,-34.031944,22.053333,2011-01-19
73,15744.0,-33.13083,18.86278,2011-01-19
74,15562.0,-33.7075,18.97444444,2011-01-19
75,15074.0,-25.57877778,29.12747222,2011-01-19
76,15089.0,-26.006389,29.253889,2011-01-20
77,15105.0,-27.02314,28.59389,2011-01-20
78,15167.5,-30.679722,26.7125,2011-01-20
79,15488.0,-28.460833,21.248889,2011-01-20
80,15143.5,-30.77586667,29.03221667,2011-01-20
81,15086.0,-24.925278,29.324444,2011-01-21
82,15488.0,-28.460833,21.248889,2011-01-21
83,15029.0,-24.679167,30.8025,2011-01-24
84,14993.0,-25.99136,27.84208,2011-01-24
85,14958.0,-25.49037,30.6986,2011-01-24
